
2025-02-15 08:52:51,Noun: Definition & types,Easy,100.00%
2025-03-01 02:47:22,Parts of Speech Overview,Easy,100.00%
2025-02-18 16:20:25,Parts of Speech Overview,Medium,100.00%
2025-01-03 06:16:13,Parts of Speech Overview,Hard,93.45%
2025-03-02 03:56:35,Parts of Speech Overview,Hard,88.35%
2025-01-04 06:59:20,Noun: Definition & types,Easy,80.77%
2025-02-11 11:08:18,Present Tense: Definition & Structure,Medium,88.84%
2025-02-02 05:54:17,Parts of Speech Overview,Easy,81.00%
2025-01-27 10:03:02,Modal Auxiliaries,Easy,74.73%
2025-02-23 05:31:56,Word definition criteria,Hard,85.68%
2025-02-05 03:07:24,Noun: Definition & types,Easy,98.03%
2025-03-04 09:43:41,Noun: Definition & types,Easy,100.00%
2025-01-31 06:04:32,Present Tense: Definition & Structure,Medium,100.00%
2025-01-17 12:07:55,Present Tense: Definition & Structure,Easy,91.82%
2025-02-23 10:33:22,Word definition criteria,Easy,85.32%
2025-02-26 19:01:27,Word definition criteria,Easy,98.93%
